contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
,https://www.ppaghana.org/contractdetail.asp?Con_ID=1,0.0,1.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=,,,,,,,,1,,2017-10-06 11:04:39.282770,,,/
Brightway Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=3,44393.11,3.0,Supply of Stationery and Printing,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1326,2012-07-13,Ministry of Information,New Ghana Cedi,Ghana Broadcasting Corporation,1. Fax Roll    2. A4 Papers     3. Cartridge and Toners     4. Printing of Drivers Log Books,2012-08-13,NCT,1,"P. O. Box GP 3468
Accra",2017-10-06 11:05:34.985000,,GR/GBC/GD/001/2012,Ghana Broadcasting Corporation /Ministry of Information
,https://www.ppaghana.org/contractdetail.asp?Con_ID=6,0.0,6.0,"Procurement of Cartridges, Toners and Pen Drives",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,,Ministry of Energy and Petroleum,New Ghana Cedi,Ministry of Energy and Petroleum,Item 1: Cartridges (1320) - 40bxs     Item 2: Cartridges (P2055d) - 60bxs    Item 3: Cartridges (53A) - 40bxs    Item 4: Pen Drives (4GB) - qty 40pcs    Item 5: IR 2270 Toner - qty (20pcs)     Item 6: 6000 Series - qty 16bxs     Item 7: 2015 Series - qty 16bxs     Item 8: Xerox 5767 - qty 10 pcs,,NCT,,,2017-10-06 11:06:22.534251,,GR/MIE/GD/0005/2012,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum
Stidij Ventures Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=7,34154.8,7.0,"Procurement of Cartridges, Toners and Pen Drives",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,2012-07-18,Ministry of Energy and Petroleum,New Ghana Cedi,Ministry of Energy and Petroleum,Item 1: Cartridges (1320) - 40bxs     Item 2: Cartridges (P2055d) - 60bxs    Item 3: Cartridges (53A) - 40bxs    Item 4: Pen Drives (4GB) - qty 40pcs    Item 5: IR 2270 Toner - qty (20pcs)     Item 6: 6000 Series - qty 16bxs     Item 7: 2015 Series - qty 16bxs     Item 8: Xerox 5767 - qty 10 pcs,,NCT,,"P.O.Box CE 11478
Tema
Tel: 0303 304191
Fax: 0303 310890
Mob: 0243 058537
Email: info@stidij.com",2017-10-06 11:05:11.263950,,GR/MIE/GD/0005/2012,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum
Oman Fofor Trading Company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=13,67164.86,13.0,Procurement of Stationery and Office Equipment,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,2012-07-31,Ministry of Lands and Natural Resources,New Ghana Cedi,Minerals Commission,Lot 1: Stationery (40 Assorted Items)     Lot 2: Office Equipment  i. Comb Binding Machine     ii. Photocopier (Black and White),2012-08-31,NCT,2,"P. O. Box 7101
Accra-North
Accra",2017-10-09 09:59:37.339305,,GR/MCM/GD/0010/2012,Minerals Commission/Ministry of Lands and Natural Resources
All Brothers & Stationary Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=15,22736.0,15.0,Procurement of Stationery and Office Equipment,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,2012-07-31,Ministry of Lands and Natural Resources,New Ghana Cedi,Minerals Commission,Lot 1: Stationery (40 Assorted Items)     Lot 2: Office Equipment  i. Comb Binding Machine     ii. Photocopier (Black and White),2012-08-31,NCT,1,"P. O. Box 13507
Accra",2017-10-09 10:00:07.789087,,GR/MCM/GD/0010/2012,Minerals Commission/Ministry of Lands and Natural Resources
Fonstat Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=19,51250.0,19.0,Printing of Forms,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,2012-04-27,Ministry of Attorney-General,New Ghana Cedi,Registrar General's Department,Printing of Forms,2012-07-27,NCT,1,"P. O. Box 10254
Accra-North
Accra",2017-10-09 10:00:07.249463,,GR/RGD/GD/0001/2012,Registrar General's Department /Ministry of Attorney-General
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=20,28072.97,20.0,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,2012-04-26,Ministry of Attorney-General,New Ghana Cedi,Registrar General's Department,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,2012-05-30,NCT,1,"P. O. Box AN7617
Accra-North
Accra",2017-10-06 11:04:53.730367,,GR/RGD/GD/0002/2012,Registrar General's Department /Ministry of Attorney-General
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=21,22088.86,21.0,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,2012-04-26,Ministry of Attorney-General,New Ghana Cedi,Registrar General's Department,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,2012-06-05,NCT,2,"P. O. Box AN7617
Accra-North
Accra",2017-10-09 10:00:08.036078,,GR/RGD/GD/0002/2012,Registrar General's Department /Ministry of Attorney-General
MADSON JAPAN ENG.(GH) LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=22,42000.0,22.0,Procurement of Computers and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1346,2012-08-16,Ministry of Finance,New Ghana Cedi,National Lottery Authority,Lot 1: Desktop Computers - qty 25    Lot 2: Printers - qty 5,2012-08-23,NCT,1& 2,"MADSON JAPAN ENG.(GH) LTD
P.O.BOX 16990
ACCRA-NORTH",2017-10-06 11:04:58.528507,,GR/NLA/GG/0013/2012,National Lottery Authority /Ministry of Finance
