telephone,scraped_time,registered_office,comments,issued_shares,company_name,email,website,fax,postal_address,symbol,change_of_name,types_of_traded_securities,security,authorised_shares,data_source,date_incorporated,date_listed,incorporation_comments,directors,nature_of_business,stated_capital
0,2017-10-11 11:18:11.383299,"Access Bank Ghana Plc
Starlets '91 Road
Opposite Accra Sports Stadium, Osu Accra
P. O. Box GP 353
Accra, Ghana",,118.09,Access Bank Ghana,,,0,,ACCESS,ABG,,,,https://gse.com.gh/Listed-Companies/company-profile/ACCESS,"17th July, 2008",,,,,GHS 118.28million
0,2017-10-11 11:18:12.449903,"Plot No. 63/1, Heavy Industrial Area, Tema",,236.69,Aluworks LTD,aluworks@aluworks.com,www.aluworks.com,0,"P.O. Box 914, Tema",ALW,,Ordinary Shares of no par value,,"1,000,000,000 ordinary shares",https://gse.com.gh/Listed-Companies/company-profile/ALW,"February 24, 1978","29th November, 1996.",,"Mr. Seth Adjei - Chairman
Mr. E. Kwasi Okoh - Managing Director
Togbe Afede XIV - Member
Mr. Victor K. Djangmah - Member
Mr. Anthony Ebow Spio - Member
Prof. Lade Wosornu - Member
Mr. Kingsley O. Ofosu Obeng - Member
Mr.Joseph Simple Siilo - Member","Aluworks Limited is an aluminium continuous casting and cold rolling company. Our business is to produce and sell semi-finished flat-rolled sheet products for the building, construction, and household industries in Ghana and West Africa. Our principal products include (coloured, plain, mill finished or stucco embossed, roller or tension leveled) aluminium sheets-in-coil; slit coils and flat sheets; aluminium discs; plus roll-formed or corrugated sheets, ridges and louver blades.",GH(
0,2017-10-11 11:18:12.570353,"113 3rd Industrial Link,
Heavy Industrial Area,
Tema",,36.50,African Champion Industries Ltd.,"jared.barnett@africanchampionsindustries.com,moses.arthurbaidu@africanindustries.com",www.africancanchampionsindustries.com,0,"P.O. Box 1133, Tema",ACI,,Ordinary Shares of no par value,,500 million,https://gse.com.gh/Listed-Companies/company-profile/ACI,"May 23, 1967 as a private company","May 12, 1992",Converted to public company in December. 1990,"Elkin Pianim-Executive Chairman
Samira Ibrahim Abu
Comfort Yamoah
Francis Kalitsi
Dr. Patrick Ata",Manufacture toilet rolls.,GH
,2017-10-11 11:18:12.623860,,,230.92,Agricultural Development Bank,,,0,,ADB,,,,,https://gse.com.gh/Listed-Companies/company-profile/ADB,,,,"Mr. Alex Bernasko - Chairman,
Mr. Patrick Kingsley-Nyinah - Vice Chairman,
Mr. Kwabena Dapaah - Siakwan,
Nana Ama Serwaa Bonsu,
Dr. Adu Anane Antwi,
Mr. Frank Kwame Osei,
Professr David Abdul,
Mr. George Kwabena Abankwah-Yeboah,
Dr. John Kofi Mensah",,
0,2017-10-11 11:18:13.255987,Gold House. Patrice Lumumba Road. Roman Ridge. Accra,Incorporated on May 29.1944 in South Africa as Vaal Reefs Exploration and Mining Company Limited.The Company changed its name to Anglogold Limited on march 30. 1988 After a consolidation.  On April 26. 2004.the Company merged with Ashanti Goldfields Company Limited to form AngloGold Ashanti Limited.,0.98,AngloGold Ashanti Limited,investors@AngloGoldAshanti.com,www.anglogoldashanti.com,0,P.O. Box 2665. Accra. Ghana,AADs,,Ordinary Shares of no par value,,400.000.000,https://gse.com.gh/Listed-Companies/company-profile/AADs,April 26th 2004,April 27th 2004,Merger between Ashanti Goldfields and AngloGold,"R. P. Edey - Chairman, 
Dr. T. J. Motlatsi - Deputy Chairman, 
F. B. Arisman, 
Sipho Mila Pityana, 
W. A. Nairn, 
Prof. L. W. Nkuhlu,  
Mr Ferdinand (Fred) Ohene-Kena, 
M. Cutifani (CEO), 
S. Venkatakrishnan (CFO)
Mr Rodney John Ruston","Exploration, development and mining of gold.",US $3.364.000.000
0,2017-10-11 11:18:13.464850,"Gold House, Patrice Lumumba Road, Roman Ridge, Accra","Incorporated on May 29,1944 in South Africa as Vaal Reefs Exploration and Mining Company Limited.The Company changed its name to Anglogold Limited on march 30, 1988 After a consolidation. On April 26, 2004,the Company merged with Ashanti Goldfields Company Limited to form AngloGold Ashanti Limited.",408.21,AngloGold Ashanti Limited,investors@AngloGoldAshanti.com,www.anglogoldashanti.com,0,"P.O. Box 2665, Accra, Ghana",AGA,,Ordinary Shares of no par value,,600.000.000,https://gse.com.gh/Listed-Companies/company-profile/AGA,April 26 2004,April 27 2004,Merger between Ashanti Goldfields and AngloGold,"R. P. Edey - Chairman, 
Dr. T. J. Motlatsi - Deputy Chairman, 
Sipho Mila Pityana, 
Prof. L. W. Nkuhlu,  
Mr Ferdinand (Fred) Ohene-Kena, 
Srinivasan Venkatakrishnan (Venkat) (CEO), 
Mr Rodney John Ruston,Albert Garner-Non-Executive Director,Maria Richter-Non-Executive Director","Exploration, development and mining of gold.","ZAR 49,721,223,077.55"
0,2017-10-11 11:18:14.217314,"B1/24, Abeka Road, Tesano, Accra",,215.00,Ayton Drugs Manufacturing Company Ltd,ayrton@africaonline.com,www.ayrtondrugs.com,0,"P.O BOX 2149, Accra",AYRTN,,Equity,,500000000,https://gse.com.gh/Listed-Companies/company-profile/AYRTN,24/09/1965,14/08/2006,,,"Manufacture, importation, exportation and sale of pharmaceuticals",GH
0,2017-10-11 11:18:14.404694,ADUM BANSO ESTATE,,34.80,Benso Oil Palm Plantation Ltd,hr.bopp@gh.wilmar-intl.com,,0,"P. O. BOX 470, TAKORADI",BOPP,,Ordinary Shares of no par value,,"50.000,000 SHARES OF NO PAR VALUE",https://gse.com.gh/Listed-Companies/company-profile/BOPP,"JANUARY 22, 1976","APRIL 16, 2004",,SANTOSH PILLAI(MD); ISHMAEL EVANS YAMSON(CHAIRMAN);MR.RAMACHANDRA  RAO KODEY;NENEYO ASARE MATE-KOLE;NENE OFOE AMEGATCHER; PIERRE BILLON,PROCESSING OF PALM FRUITS INTO CRUDE PALM OIL,GH
0,2017-10-11 11:18:14.699615,"23 Independence Avenue, Accra, Ghana",,548.26,CAL Bank Limited,calbank@calbank.net,www.calbank.net,0,"P.O.Box 14596 Accra, Ghana",CAL,Previously Continental Acceptance Limited and CAL Merchant Bank,Ordinary Shares of no par value,,"1,000,000,000",https://gse.com.gh/Listed-Companies/company-profile/CAL,28th April 2004,"November 5, 2004",,"Paarock Van Percy - Chairman, 
Frank Brako Adu Jnr.- Managing Director, 
Philip Owiredu - Executive Director;

James C. Brenner,
Leonora Agyarko, 
Dr. Kobina Quansah, 
Malcolmn Dermott Pryor, 
Eduardo Guttiereez,
Ernest Thompson,",Banking and other banking-related activities,GH
0,2017-10-11 11:18:15.083212,"DATA HOUSE, OSU LA ROAD, OPP. GCB (BEHIND 18TH JULY FURNITURE SHOWROOM BUILDING).",,6.83,Camelot Ghana Ltd,Camelot@camelotprint.com,www.camelotprint.com,0,P. O. BOX MB 191 ACCRA,CMLT,,Ordinary Shares of no par value,,"20,000,000",https://gse.com.gh/Listed-Companies/company-profile/CMLT,8TH FEBRUARY 1977,17TH SEPTEMBER 1999,,"MRS. ELIZABETH JOYCE VILLARS (CHAIRMAN)
MRS. CAROLINE ANDAH
MR. JOHN COLIN VILLARS (Group Managing Director)
MRS. ELIZABETH ZORMELO
PROF. ROBERT E. HINSON
DR. HENRY MENSAH-BROWN",MANUFACTURING (PRINTING OF SECURITY DOCUMENTS & COMPUTER FORMS),GH
