data_source,scraped_time,name,organization_type,company_name,position,date_position
https://www.parliament.gh/mps?mp=1,2017-10-18 08:47:50.439008,BRYAN  ACHEAMPONG,,INRU0IT GHANA LTDENLISTED,CEO,2008-to date
https://www.parliament.gh/mps?mp=11,2017-10-18 08:47:52.358442,KWAME GOVERNS AGBODZA,,KAY & PARTNERSCEO,CEO,2012-to date
https://www.parliament.gh/mps?mp=14,2017-10-18 08:47:53.929871,ANGELA OFORIWA ALORWU-TAY,,GOGMANAGER,DISTICT CHIEF EXECUTIVE,2012-2016
https://www.parliament.gh/mps?mp=24,2017-10-18 08:47:54.297931,JOHNSON KWAKU  ADU,,GHANA EDUC. SERVICE FORM TUTOR,CLASS TEACHER,1995-1997
https://www.parliament.gh/mps?mp=17,2017-10-18 08:47:54.333393,BETTY KROSBI NANA EFUA MENSAH,,BESTPAT GH. LTDSECOND DEPUTY COORDINATOR,MANAGING DIRECTOR,2013-2016
https://www.parliament.gh/mps?mp=7,2017-10-18 08:47:55.468585,GIFTY  TWUM-AMPOFO,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2016-to date
https://www.parliament.gh/mps?mp=23,2017-10-18 08:47:55.769738,FRANCIS  MANU-ADABOR,,SURVEY SCH,ASHANTI REGIONAL HEAD,PRINCIPAL
https://www.parliament.gh/mps?mp=18,2017-10-18 08:47:56.278508,ERIC  OSEI-OWUSU,,NATIONAL FOOD BUFFER STOCK CO,CEO,2010-2016
https://www.parliament.gh/mps?mp=22,2017-10-18 08:47:56.598891,SULEMAN ADAMU SANID,,1999-2016,ACTING MANAGER,PRINCIPAL HR OFF. ADMINISTRATIVE OFFICER
https://www.parliament.gh/mps?mp=20,2017-10-18 08:47:57.474367,CYNTHIA MAMLE MORRISON,,SELF EMPLOYMENTMANAGER,EXECUTIVE DIRECTOR,1991-2016
https://www.parliament.gh/mps?mp=19,2017-10-18 08:47:57.933103,QUEENSTAR POKUAH SAWYERR,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2013-to date
https://www.parliament.gh/mps?mp=16,2017-10-18 08:47:57.949478,MAVIS  NKANSAH-BOADU,,DEVRY UNIVERSITY - NEW YORK HUMAN RESOURCE ASSISTANT,INTERNATIONAL STUDENT AMBASSADOR,2015-2016
https://www.parliament.gh/mps?mp=15,2017-10-18 08:47:58.001290,NANA AMANIAMPONG MARFO,,NATIONAL MOBLIZATIONSNR SUPT,NSS,1989-1990
https://www.parliament.gh/mps?mp=12,2017-10-18 08:47:58.086800,KOBINA TAHIR HAMMOND,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2001-to date
https://www.parliament.gh/mps?mp=5,2017-10-18 08:47:58.533999,ALFRED OKO VANDERPUIJE,,ACCRA METROPOLITAN ASSEMBLYPRINCIPAL,METROPOLITAN CHIEF EXECUTIVE,2009-2016
https://www.parliament.gh/mps?mp=9,2017-10-18 08:47:58.686883,ROBERT KWASI AMOAH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2013-2016
https://www.parliament.gh/mps?mp=3,2017-10-18 08:47:58.884917,EBENEZER GILBERT NII NARH NARTEY,,EDNAK LIMITEDDEPUTY CLIENTS SERVICE MANAGER,MANAGING DIRECTOR,2011-2016
https://www.parliament.gh/mps?mp=13,2017-10-18 08:47:59.322030,YAW BUABEN ASAMOA,,GOVERNMENT OF GHANAPROGRAMME OFFICER,SENIOR SPECIAL AIDE OF THE VICE PRESIDENT,2005-2008
https://www.parliament.gh/mps?mp=25,2017-10-18 08:47:59.395982,EBENEZER KOJO KUM,,KENDICKS LAW FIRMASSOCIATE PARTNER,GENERAL MANAGER,2007-2016
https://www.parliament.gh/mps?mp=26,2017-10-18 08:48:00.058999,AZIZ ABDUL MUNIRU,,SHELTA LTDPROJECT ENGINEER,PROJECT MANAGER,2001-2007
https://www.parliament.gh/mps?mp=4,2017-10-18 08:48:01.247155,NANA AKUA  OWUSU AFRIYIE,,GEBOTEX BV,SUPERVISOR,1994-2003
https://www.parliament.gh/mps?mp=21,2017-10-18 08:48:01.635920,CHARLES  AGBEVE,,NATIONAL HEALTH INSURANCE AUTHORITYDISTRICT MANAGER,DISTRICT MANAGER,2009-2016
https://www.parliament.gh/mps?mp=27,2017-10-18 08:48:02.764449,PETER  NORTSU-KOTOE,,GHANA EDUCATION SERVICEDISTRICT CHIEF EXECUTIVE,ASSISTANT DIRECTOR 1,1978-2009
https://www.parliament.gh/mps?mp=30,2017-10-18 08:48:02.998364,WILLIAM AGYAPONG QUAITTOO,,GHANA COCOA BOARDPROGRAMMES MANAGER,MANAGER,2006-2012
https://www.parliament.gh/mps?mp=34,2017-10-18 08:48:03.382660,NANA DOKUA ASIAMAH-ADJEI,,PONGAS LIMITEDMANAGING DIRECTOR,MANAGING DIRECTOR,2007-2015
https://www.parliament.gh/mps?mp=31,2017-10-18 08:48:03.555610,KENNEDY NYARKO OSEI,,J. A. PLANT POOL LTDMARKETING MANAGER,MARKETING MANAGER,2007-2012
https://www.parliament.gh/mps?mp=35,2017-10-18 08:48:03.660102,MERCY  ADU-GYAMFI,,AMA SEY PHARMACY,MANAGING DIRECTOR,2015-2016
https://www.parliament.gh/mps?mp=2,2017-10-18 08:48:03.768904,JOHN FRIMPONG OSEI,,FOSDAG LIMITEDSPECIAL ASSISTANT TO THE MINISTER,MANAGING DIRECTOR,2006-2016
https://www.parliament.gh/mps?mp=28,2017-10-18 08:48:04.056129,BERNARD  AHIAFOR,,JUSTKING AND ASSOCIATESLEGAL PRACTITIONER,LEGAL PRACTITIONER,2002-2003
https://www.parliament.gh/mps?mp=6,2017-10-18 08:48:04.754294,URSULA GIFTY OWUSU-EKUFUL,,NU CONSULT,MANAGING CONSULTANT,2009-2013
https://www.parliament.gh/mps?mp=42,2017-10-18 08:48:04.956403,MATHIAS KWAME NTOW,,Ghana Education Service,Snr Superintendent,2000-2008
https://www.parliament.gh/mps?mp=33,2017-10-18 08:48:05.424930,OSEI BONSU AMOAH,,INTERNAL REVENUE SERVICELAWYER,INSPECTOR OF TAXES,1988-1997
https://www.parliament.gh/mps?mp=43,2017-10-18 08:48:05.495338,KWAME  ANYIMADU-ANTWI,,LAND VALUATION DIVISIONEST. OFFICER TO ASST. EST. MANAGER,ASSISTANT VALUER,1989-1991
https://www.parliament.gh/mps?mp=37,2017-10-18 08:48:06.091265,PETER YAW KWAKYE-ACKAH,,MINISTRY OF LOCAL GOVERNMENTCHIEF ENGINEER,DISTRICT CHIEF EXECUTIVE,2012-2016
https://www.parliament.gh/mps?mp=48,2017-10-18 08:48:06.727168,GEORGE KWAME ABOAGYE,,GEOSPENCE GHANA LTD,CEO,2008-2016
https://www.parliament.gh/mps?mp=38,2017-10-18 08:48:06.825321,PATRICK  BOGYAKO-SIAIME,,GOLDEN STAR RESOURCESINTERNAL AUDIT MANAGER,GROUP INTERNAL AUDITOR,2006-2006
https://www.parliament.gh/mps?mp=41,2017-10-18 08:48:06.875336,SHIRLEY AYORKOR BOTCHWEY,,PARLIAMENT OF GHANADEPUTY MINISTER,MEMBER OF PARLIAMENT,2005-to date
https://www.parliament.gh/mps?mp=29,2017-10-18 08:48:07.036925,SAMUEL ATTA AKYEA,,AKUF0-ADDO PREMPEH &amp C0MEMBER HEAD OF CHAMBERS,MEMBER,1994-2003
https://www.parliament.gh/mps?mp=36,2017-10-18 08:48:07.352947,EMMANUEL NII OKAI LARYEA,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2013-2016
https://www.parliament.gh/mps?mp=8,2017-10-18 08:48:07.500460,ELVIS MORRIS DONKOH,,ALLIANCE FOR YOUTH DEVELOPMENTGHANA PROGRAM MANAGER,EXECUTIVE DIRECTOR,2003-2016
https://www.parliament.gh/mps?mp=40,2017-10-18 08:48:08.993936,CLEMENT  HUMADO,,PARLIAMENT OF GHANACONSULTANT ON SPS AND TRAINING,MEMBER OF PARLIAMENT,2005-2016
https://www.parliament.gh/mps?mp=47,2017-10-18 08:48:09.201507,MOHAMMED-MUBARAK  MUNTAKA,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2005-to date
https://www.parliament.gh/mps?mp=44,2017-10-18 08:48:09.991195,KWAKU  ASANTE-BOATENG,,LAND VALUATION DIVISIONEST. OFFICER TO ASST. EST. MANAGER,ASSISTANT VALUER,1989-1991
https://www.parliament.gh/mps?mp=45,2017-10-18 08:48:10.831217,ANDY KWAME APPIAH-KUBI,,IDEAL VERTERINARY SUPPLCOUNTRY DIRECTOR,CHIEF EXECUTIVE,1989-1994
https://www.parliament.gh/mps?mp=64,2017-10-18 08:48:11.137998,MAVIS HAWA KOOMSON,,CHIEF IBRAHIM BASIC SCHOOLHEADTEACHER,HEADTEACHER,2005-2006
https://www.parliament.gh/mps?mp=52,2017-10-18 08:48:11.401281,KEN OHENE AGYAPONG,,OFFICE OF PARLIAMENT,MEMBER OF PARLIAMENT,2001-2016
https://www.parliament.gh/mps?mp=61,2017-10-18 08:48:11.493911,ABENA  OSEI-ASARE,,PARLIAMENT OF GHANATREASURY - DEALER,MEMBER OF PARLIAMENT,2013-to date
https://www.parliament.gh/mps?mp=53,2017-10-18 08:48:11.590505,ABENA DUROWAA MENSAH,,ESICHLIFE ASSURANCEADMINISTRATIVE OFFICER,OFFICE MANAGER,2014-2015
https://www.parliament.gh/mps?mp=58,2017-10-18 08:48:11.962350,BENHAZIN JOSEPH DAHAH,,ASUITIFI NORTH DISTRICT ASSEMBLY TUTOR,YOUTH EMPLOYMENT CO-ORDINATOR,2008-2009
https://www.parliament.gh/mps?mp=39,2017-10-18 08:48:12.402936,ERIC  AFFUL,,ECG - GHANATEACHER,DISTRICT ACCOUNTANT,1998-1999
