data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=1,2017-10-17 16:50:37.543058,BRYAN  ACHEAMPONG,,INRU0IT GHANA LTDENLISTED,CEO
https://www.parliament.gh/mps?mp=4,2017-10-17 16:50:37.699799,NANA AKUA  OWUSU AFRIYIE,,GEBOTEX BV ,SUPERVISOR
https://www.parliament.gh/mps?mp=2,2017-10-17 16:50:37.895976,JOHN FRIMPONG OSEI,,FOSDAG LIMITEDSPECIAL ASSISTANT TO THE MINISTER,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=7,2017-10-17 16:50:38.011309,GIFTY  TWUM-AMPOFO,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=8,2017-10-17 16:50:38.234254,ELVIS MORRIS DONKOH,,ALLIANCE FOR YOUTH DEVELOPMENTGHANA PROGRAM MANAGER,EXECUTIVE DIRECTOR
https://www.parliament.gh/mps?mp=6,2017-10-17 16:50:38.536505,URSULA GIFTY OWUSU-EKUFUL,,NU CONSULT,MANAGING CONSULTANT
https://www.parliament.gh/mps?mp=9,2017-10-17 16:50:38.594567,ROBERT KWASI AMOAH,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=5,2017-10-17 16:50:38.678231,ALFRED OKO VANDERPUIJE,,ACCRA METROPOLITAN ASSEMBLYPRINCIPAL,METROPOLITAN CHIEF EXECUTIVE
https://www.parliament.gh/mps?mp=11,2017-10-17 16:50:38.761884,KWAME GOVERNS AGBODZA,,KAY & PARTNERSCEO,CEO
https://www.parliament.gh/mps?mp=3,2017-10-17 16:50:41.085369,EBENEZER GILBERT NII NARH NARTEY,,EDNAK LIMITEDDEPUTY CLIENTS SERVICE MANAGER,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=12,2017-10-17 16:50:41.109716,KOBINA TAHIR HAMMOND,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=15,2017-10-17 16:50:41.333293,NANA AMANIAMPONG MARFO,,NATIONAL MOBLIZATIONSNR SUPT,NSS
https://www.parliament.gh/mps?mp=16,2017-10-17 16:50:41.411447,MAVIS  NKANSAH-BOADU,,DEVRY UNIVERSITY - NEW YORK HUMAN RESOURCE ASSISTANT ,INTERNATIONAL STUDENT AMBASSADOR 
https://www.parliament.gh/mps?mp=14,2017-10-17 16:50:47.376150,ANGELA OFORIWA ALORWU-TAY,,GOGMANAGER,DISTICT CHIEF EXECUTIVE
https://www.parliament.gh/mps?mp=21,2017-10-17 16:50:48.226906,CHARLES  AGBEVE,,NATIONAL HEALTH INSURANCE AUTHORITYDISTRICT MANAGER,DISTRICT MANAGER
https://www.parliament.gh/mps?mp=22,2017-10-17 16:50:48.975942,SULEMAN ADAMU SANID,,1999-2016 ,ACTING MANAGER
https://www.parliament.gh/mps?mp=18,2017-10-17 16:50:49.053137,ERIC  OSEI-OWUSU,,NATIONAL FOOD BUFFER STOCK CO,CEO
https://www.parliament.gh/mps?mp=19,2017-10-17 16:50:52.017937,QUEENSTAR POKUAH SAWYERR,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT
https://www.parliament.gh/mps?mp=17,2017-10-17 16:50:52.055929,BETTY KROSBI NANA EFUA MENSAH,,BESTPAT GH. LTDSECOND DEPUTY COORDINATOR,MANAGING DIRECTOR
https://www.parliament.gh/mps?mp=30,2017-10-17 16:50:54.457102,WILLIAM AGYAPONG QUAITTOO,,GHANA COCOA BOARDPROGRAMMES MANAGER,MANAGER
https://www.parliament.gh/mps?mp=28,2017-10-17 16:50:54.994452,BERNARD  AHIAFOR,,JUSTKING AND ASSOCIATESLEGAL PRACTITIONER,LEGAL PRACTITIONER
https://www.parliament.gh/mps?mp=29,2017-10-17 16:50:55.515812,SAMUEL ATTA AKYEA,,AKUF0-ADDO PREMPEH &amp C0MEMBER HEAD OF CHAMBERS ,MEMBER 
https://www.parliament.gh/mps?mp=24,2017-10-17 16:50:58.536611,JOHNSON KWAKU  ADU,,GHANA EDUC. SERVICE FORM TUTOR ,CLASS TEACHER
https://www.parliament.gh/mps?mp=13,2017-10-17 16:50:59.294079,YAW BUABEN ASAMOA,,GOVERNMENT OF GHANAPROGRAMME OFFICER,SENIOR SPECIAL AIDE OF THE VICE PRESIDENT
https://www.parliament.gh/mps?mp=26,2017-10-17 16:50:59.555626,AZIZ ABDUL MUNIRU,,SHELTA LTDPROJECT ENGINEER,PROJECT MANAGER
https://www.parliament.gh/mps?mp=27,2017-10-17 16:50:59.598812,PETER  NORTSU-KOTOE,,GHANA EDUCATION SERVICEDISTRICT CHIEF EXECUTIVE ,ASSISTANT DIRECTOR 1
https://www.parliament.gh/mps?mp=32,2017-10-17 16:51:00.735621,KWABENA  APPIAH-PINKRAH,,OFFICE OF PARLIAMENTM.D.,MEMBER
https://www.parliament.gh/mps?mp=39,2017-10-17 16:51:02.077072,ERIC  AFFUL,,ECG - GHANATEACHER ,DISTRICT ACCOUNTANT
https://www.parliament.gh/mps?mp=38,2017-10-17 16:51:02.658173,PATRICK  BOGYAKO-SIAIME,,GOLDEN STAR RESOURCESINTERNAL AUDIT MANAGER,GROUP INTERNAL AUDITOR
