address,awarding_agency,awarding_agency_link,awarding_agency_ministry,awarding_ministry,company_email,contract_award_price,contract_awarded_to,contract_id,contract_signed_on,contract_title,currency,data_source,estimated_contract_completion_date,tender_description,tender_lot_Numbers,tender_package_no,tender_type
,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=,/,,,0,,1,,,,https://www.ppaghana.org/contractdetail.asp?Con_ID=1,,,1,,
"P. O. Box AN 5216
Accra-North
Ghana",Ghana Ports And Harbours Authority,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1336,Ghana Ports And Harbours Authority /Ministry of Transport,Ministry of Transport,,511462,Japan Motors,2,2012-02-02,Supply of 15No. 4WD Double-Cin Pick-Up,USA Dollar,https://www.ppaghana.org/contractdetail.asp?Con_ID=2,2012-04-02,Supply of 15No. 4WD Double-Cin Pick-Up,1,IND.262/MGT/HQ/015,NCT
"P. O. Box GP 3468
Accra",Ghana Broadcasting Corporation,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1326,Ghana Broadcasting Corporation /Ministry of Information,Ministry of Information,,44393.11,Brightway Enterprise,3,2012-07-13,Supply of Stationery and Printing,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=3,2012-08-13,1. Fax Roll    2. A4 Papers     3. Cartridge and Toners     4. Printing of Drivers Log Books,1,GR/GBC/GD/001/2012,NCT
"P. O. Box WIJ 119
Accra-Ghana",University of Health and Allied Sciences,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1382,University of Health and Allied Sciences /Ministry of Education,Ministry of Education,,190700,Excel Scientific Limited,4,2012-07-20,Supply and Installation of Medical Laboratory Equipments,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=4,2012-08-28,Supply and Installation of Medical Laboratory Equipments,1,GR/SAHS/NCT/GDS/0014/2012,NCT
"P. O. Box 4653
Kaneshe",Metro Mass Transport Limited,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1345,Metro Mass Transport Limited /Ministry of Transport,Ministry of Transport,,91950.55,Office Lines Limited,5,2012-06-21,Printing,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=5,2012-12-21,Printing,1,MMTL/NCT/GD/PT001/12,NCT
,Ministry of Energy and Petroleum,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum,Ministry of Energy and Petroleum,,0,,6,,"Procurement of Cartridges, Toners and Pen Drives",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=6,,Item 1: Cartridges (1320) - 40bxs     Item 2: Cartridges (P2055d) - 60bxs    Item 3: Cartridges (53A) - 40bxs    Item 4: Pen Drives (4GB) - qty 40pcs    Item 5: IR 2270 Toner - qty (20pcs)     Item 6: 6000 Series - qty 16bxs     Item 7: 2015 Series - qty 16bxs     Item 8: Xerox 5767 - qty 10 pcs,,GR/MIE/GD/0005/2012,NCT
"P.O.Box CE 11478
Tema
Tel: 0303 304191
Fax: 0303 310890
Mob: 0243 058537
Email: info@stidij.com",Ministry of Energy and Petroleum,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum,Ministry of Energy and Petroleum,,34154.8,Stidij Ventures Limited,7,2012-07-18,"Procurement of Cartridges, Toners and Pen Drives",New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=7,,Item 1: Cartridges (1320) - 40bxs     Item 2: Cartridges (P2055d) - 60bxs    Item 3: Cartridges (53A) - 40bxs    Item 4: Pen Drives (4GB) - qty 40pcs    Item 5: IR 2270 Toner - qty (20pcs)     Item 6: 6000 Series - qty 16bxs     Item 7: 2015 Series - qty 16bxs     Item 8: Xerox 5767 - qty 10 pcs,,GR/MIE/GD/0005/2012,NCT
"P. O. Box 7101
Accra-North
Accra",Minerals Commission,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,Minerals Commission/Ministry of Lands and Natural Resources,Ministry of Lands and Natural Resources,,67164.86,Oman Fofor Trading Company Limited,13,2012-07-31,Procurement of Stationery and Office Equipment,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=13,2012-08-31,Lot 1: Stationery (40 Assorted Items)     Lot 2: Office Equipment  i. Comb Binding Machine     ii. Photocopier (Black and White),2,GR/MCM/GD/0010/2012,NCT
"P. O. Box GP 13724
Accra",Minerals Commission,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,Minerals Commission/Ministry of Lands and Natural Resources,Ministry of Lands and Natural Resources,,52700,Perfect Business Company Limited,14,2012-07-31,Procurement Of Assorted Toners and Cartridges,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=14,2012-08-31,"Assorted Photocopier & Printer Toners, Cartridges  And Other Consumles",1,GR/MCM/GD/0018/2012,NCT
"P. O. Box 13507
Accra",Minerals Commission,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,Minerals Commission/Ministry of Lands and Natural Resources,Ministry of Lands and Natural Resources,,22736,All Brothers & Stationary Limited,15,2012-07-31,Procurement of Stationery and Office Equipment,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=15,2012-08-31,Lot 1: Stationery (40 Assorted Items)     Lot 2: Office Equipment  i. Comb Binding Machine     ii. Photocopier (Black and White),1,GR/MCM/GD/0010/2012,NCT
"P.O. Box GP 2821
Accra",Ghana Academy of Arts and Sciences,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1402,Ghana Academy of Arts and Sciences/Ministry of Education,Ministry of Education,,30100,Beautiful Creations Ltd.,17,2012-07-19,Supply and Installation of Information Technology Equipment,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=17,2012-08-16,Lot 1  a. Scanner - 6    b. Laptop - 8    c. LCD Projector - 2    Lot 2:   a. Disc Box - 2     b. Copyholder - 3    Lot 3: Intercom,"1,2,3",GR/GAAS/GD/03/12,NCT
"P. O. Box 16990
Accra - North",Ghana Broadcasting Corporation,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1326,Ghana Broadcasting Corporation /Ministry of Information,Ministry of Information,,60800,Madson Japan Eng. (Gh) Limited,18,2012-07-13,Supply of Stationery and Printing,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=18,2012-08-13,1. Fax Roll    2. A4 Papers     3. Cartridge and Toners     4. Printing of Drivers Log Books,2,GR/GBC/GD/001/2012,NCT
"P. O. Box 10254
Accra-North
Accra",Registrar General's Department,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,Registrar General's Department /Ministry of Attorney-General,Ministry of Attorney-General,,51250,Fonstat Limited,19,2012-04-27,Printing of Forms,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=19,2012-07-27,Printing of Forms,1,GR/RGD/GD/0001/2012,NCT
"P. O. Box AN7617
Accra-North
Accra",Registrar General's Department,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,Registrar General's Department /Ministry of Attorney-General,Ministry of Attorney-General,,28072.97,IPMC,20,2012-04-26,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=20,2012-05-30,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,1,GR/RGD/GD/0002/2012,NCT
"P. O. Box AN7617
Accra-North
Accra",Registrar General's Department,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=390,Registrar General's Department /Ministry of Attorney-General,Ministry of Attorney-General,,22088.86,IPMC,21,2012-04-26,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=21,2012-06-05,Supply and Delivery of HP Laserjet Printer Toners and Cartridges,2,GR/RGD/GD/0002/2012,NCT
"MADSON JAPAN ENG.(GH) LTD
P.O.BOX 16990
ACCRA-NORTH",National Lottery Authority,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1346,National Lottery Authority /Ministry of Finance,Ministry of Finance,,42000,MADSON JAPAN ENG.(GH) LTD,22,2012-08-16,Procurement of Computers and Accessories,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=22,2012-08-23,Lot 1: Desktop Computers - qty 25    Lot 2: Printers - qty 5,1& 2,GR/NLA/GG/0013/2012,NCT
"5 Osabu Street
Ablenkpe-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,87271,Herona Co. Ltd,23,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=23,,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
"5 Osabu Street
Abelenkpe-Accra",Ghana Health Service,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=321,Ghana Health Service /Ministry of Health,Ministry of Health,,269038,Herona Co. Ltd,24,2012-07-25,Supply of Essential Medicines,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=24,2012-09-20,Supply of Essential Medicines,Various,GHS/ER/2012/NCT/B.2.1/01,NCT
